  pid             arv            dept  prio      cpu           waitr           turna         cs
    1       88.799004      496.306000    -4      367       40.506989      407.506989          3
    2      325.628998     1167.668945     3      141      701.039917      842.039917          2
    3      626.335022     1150.209961    -2      208      315.874939      523.874939          2
    4      862.466003     1091.890015    -5      228        1.424011      229.424011          3
    5     1223.975952     7588.328125    -2      357     6007.352051     6364.352051         11
    6     1481.816040     2381.074951    -5      292      607.258911      899.258911          5
    7     1707.937988     7888.116211     0      279     5901.178223     6180.178223         19
    8     1878.973999     8386.435547     5      140     6367.461426     6507.461426         13
    9     2089.049072     3758.840088    -3      343     1326.791016     1669.791016         12
   10     2302.304932     8770.333008     5      227     6241.028320     6468.028320         17
   11     2559.996094     8311.971680     4      154     5597.975586     5751.975586         15
   12     2737.214111     3075.854004    -2      207      131.639893      338.639893         10
   13     2932.364990     8111.470215     4      137     5042.105469     5179.105469         13
   14     3145.800049     7569.708984    -2      360     4063.909180     4423.909180         20
   15     3343.788086     8061.898926     5      101     4617.110840     4718.110840         10
   16     3529.614014     8689.581055     5      172     4987.966797     5159.966797         16
   17     3737.715088     4435.881836    -5      382      316.166748      698.166748         12
   18     3978.104980     7947.624023     2      187     3782.519043     3969.519043         18
   19     4260.696777     7953.877930     2      186     3507.181152     3693.181152         18
   20     4477.909180     4863.576172    -5      256      129.666992      385.666992          9
   21     4741.283203     8729.928711     2      383     3605.645508     3988.645508         26
   22     4912.534180     5466.938965    -5      241      313.404785      554.404785          9
   23     5077.020996     7555.434082    -2      343     2135.413086     2478.413086         28
   24     5263.196777     6134.000977     0      122      748.804199      870.804199         12
   25     5484.270996     6346.969238    -2      218      644.698242      862.698242         18
   26     5650.683105     8964.293945     5      382     2931.610840     3313.610840         18
   27     5833.857910     5962.758789    -3      116       12.900879      128.900879          8
   28     6003.847168     8645.563477     1      407     2234.716309     2641.716309         29
   29     6258.127930     8268.868164     4      154     1856.740234     2010.740234         15
   30     6461.641113     6808.422852    -3      308       38.781738      346.781738         21
avg waiting time: 2473.629150
